Title,Authors,ISBN10,ISBN13,Biblionumber,PublisherName
"L is for Lawless","Grafton, Sue",0330524437,9780330524438,1648,"Fawcett Crest"
"'1984' - a panal discussion of the renewal season","Reinsurance Offices Association",,,20077,
"'the hours clauses' loss occurance under property catastrophe","Reinsurance Offices Association",,,675,
"(agents) regulations, 1972",LIC,,,428,"Life Insurance Corporation of India"
"10 commandments of management","Peel, M. [Et.al]",,,20545,"Century Business"
"10 Most enduring ideas along with articles by thought leaders (with CD-ROM): Source: www.strategy-business.com","Kleiner, Art",,,24620,"National Insurance Academy"
"10 Most enduring ideas along with articles by thought leaders (with CD-ROM): Source:www.strategy-business.com; 2. Idea","Khaitan, Ambarish",,,22670,"National Insurance Academy"
"10 top teambuilding games","Bray, Tony",,,15542,Fenman
"10-Minute Time and Stress Management How to Gain an `extra' 10 Hours a Week!.","Lewis, David",,,21509,Piatkus
"10/100Mbps Ethement PCI Adapter",D-Link,,,23073,"D-Link Corporation"
"100 freeware","PC Quest",,,25411,
"100 Great Modern Lives","Canning, J.",,,3373,"Rupa and"
"One Hundred) 100 Great Kings, Queens and Rulers of the World","Canning, John",,,1364,"Rupa and Publication"
"100 Management Charts","Nagashima, Soichiro",,,10509,"Asia Producstivity Charts"
"100 Stories from Panchatantra","Mudholkar,Ramesh",,,25458,"Anmol Prakashan"
"100 World Famous Stock Market Techniques","Maturi, R.J.",8170945623,9788170945628,12214,Vision
"100 years of engineering insurances at munich re 1900-2000","Munich Re Group",,,13138,"Munich Re"
"100+ tips and tricks [December 2002]",Digit,,,23245,
"1000 maharashtra quiz","Panandiker, S.",,,4947,"Rupa and Publication"
"101 Commonsense Rules for Making Things Happen","Brinkerhoff, John R.",9837200855,9789837200852,2181,"Stackpole Books"
"101 Commonsense Rules for the Office","Brinkerhoff, John R.",983720091X,9789837200913,9938,"Stackpole Books"
"101 Home Office Success Secrets","Kanarek, Lisa",,,14351,"Career Press"
"101 shreshtha kriketpatoo १०१ श र ष ठ क रिक टपट","Pandit, Bal",,,267,"Utkarsha Prakashan"
"110% solution","Mccormac, Mark",,,16899,Chapmans
"The 12 Stages of Healing","Epstein, Donald M. [Et.al]",1934408425,9781934408421,7540,"Amber-Allen Publication"
"12 Steps to Mastering the Winds of Change","Olesen, E.",,,15604,"Rawson Associates"
"13 Fatal Errors Managers Make and how You Can Avoid Them","Brown, W. Steven",,,8720,"Berkley Books"
"13th annual reports and accounts 1982",I.S.T.D.,,,10208,"Indian Society For Training and Development"
"13th national convention - making training and development more","Indian Society For Training & Development.",,,16800,LSTD
"15431fast cycle time","Meyer, C.",,,18534,"Free Press"
"16 Bit Microprocessors","Aumiaux, Michael",,,160,"Prentice Hall"
"175 Stories of Akbar and Birbal","Mudholkar,Ramesh",,,25171,"Anmol Prakashan"
"18 business tools (September 2001)","PC Quest",,,22765,
